t 64 69
v 0 1 1
v 1 1 1
v 2 1 2
v 3 1 3
v 4 1 2
v 5 3 2
v 6 1 3
v 7 2 1
v 8 1 3
v 9 1 2
v 10 1 3
v 11 1 2
v 12 3 3
v 13 1 1
v 14 3 2
v 15 1 3
v 16 2 1
v 17 1 3
v 18 3 3
v 19 1 2
v 20 1 3
v 21 1 2
v 22 3 2
v 23 2 1
v 24 1 1
v 25 1 3
v 26 1 3
v 27 1 2
v 28 1 2
v 29 1 3
v 30 1 3
v 31 1 2
v 32 1 3
v 33 1 2
v 34 1 2
v 35 3 2
v 36 1 3
v 37 2 1
v 38 1 3
v 39 1 2
v 40 1 3
v 41 1 2
v 42 3 3
v 43 1 1
v 44 3 2
v 45 1 3
v 46 2 1
v 47 1 3
v 48 3 3
v 49 1 2
v 50 1 3
v 51 1 2
v 52 3 2
v 53 8 4
v 54 2 1
v 55 2 1
v 56 2 1
v 57 8 4
v 58 2 1
v 59 2 1
v 60 2 1
v 61 1 1
v 62 1 4
v 63 0 1
e 0 4 0
e 1 2 1
e 2 3 0
e 3 4 0
e 3 5 1
e 5 6 0
e 6 7 0
e 6 8 1
e 8 9 1
e 8 12 0
e 9 10 1
e 10 11 0
e 10 14 1
e 11 12 0
e 12 13 0
e 14 15 0
e 15 16 1
e 15 17 0
e 17 18 0
e 17 21 0
e 18 19 1
e 18 24 0
e 19 20 0
e 20 21 1
e 20 22 0
e 22 62 1
e 23 62 0
e 25 26 1
e 25 30 0
e 25 31 0
e 26 27 0
e 26 53 0
e 27 28 0
e 28 29 0
e 29 30 0
e 29 35 0
e 30 34 0
e 31 32 1
e 32 33 0
e 32 57 0
e 33 34 0
e 35 36 1
e 36 37 0
e 36 38 1
e 38 39 1
e 38 42 1
e 39 40 0
e 40 41 0
e 40 44 0
e 41 42 1
e 42 43 0
e 44 45 0
e 45 46 0
e 45 47 0
e 47 48 1
e 47 51 0
e 48 49 0
e 48 61 0
e 49 50 0
e 50 51 0
e 50 52 0
e 52 62 0
e 53 54 0
e 53 55 0
e 53 56 0
e 57 58 0
e 57 59 0
e 57 60 0
e 62 63 -1
