t 64 109
v 3456 7 2
v 520 4 3
v 527 7 4
v 1811 10 1
v 6549 0 1
v 534 13 2
v 8473 7 1
v 1049 11 3
v 667 3 1
v 284 3 3
v 6427 4 4
v 5534 6 1
v 158 11 1
v 6560 11 1
v 544 1 4
v 546 8 1
v 540 13 2
v 543 6 2
v 37 1 2
v 550 5 2
v 668 0 4
v 669 5 3
v 1058 2 4
v 298 7 7
v 6267 4 1
v 300 2 11
v 563 5 1
v 1075 6 2
v 4664 4 1
v 2234 9 1
v 187 10 4
v 314 13 2
v 1726 0 1
v 1603 10 3
v 963 5 1
v 964 11 1
v 328 4 31
v 457 10 1
v 6861 8 1
v 335 4 3
v 338 9 4
v 339 14 3
v 342 9 3
v 471 3 1
v 346 6 7
v 351 1 7
v 4960 2 1
v 740 9 1
v 7397 2 3
v 4709 4 30
v 2663 10 3
v 7398 13 1
v 7399 8 1
v 7400 12 1
v 619 12 2
v 5489 10 1
v 4210 13 1
v 373 9 5
v 1141 4 2
v 505 5 4
v 507 12 6
v 3580 12 1
v 510 1 5
v 3455 12 1
e 3456 284 11
e 3456 4709 8
e 520 300 5
e 520 510 1
e 520 4709 12
e 527 300 11
e 527 346 8
e 527 351 12
e 527 4709 8
e 1811 4709 4
e 6549 4709 8
e 534 300 11
e 534 4709 13
e 8473 7397 13
e 1049 187 2
e 1049 328 6
e 1049 1075 1
e 667 328 4
e 284 328 2
e 284 507 10
e 6427 963 13
e 6427 1726 13
e 6427 2234 13
e 6427 7397 11
e 5534 4709 12
e 158 328 0
e 6560 4709 3
e 544 187 5
e 544 328 13
e 544 510 13
e 544 1141 12
e 546 328 3
e 540 300 2
e 540 4709 6
e 543 300 9
e 543 4709 7
e 37 328 7
e 37 373 12
e 550 328 3
e 550 619 14
e 668 328 9
e 668 373 12
e 668 669 8
e 668 1058 14
e 669 328 8
e 669 1058 3
e 1058 328 9
e 1058 373 12
e 298 328 12
e 298 335 12
e 298 338 3
e 298 339 14
e 298 342 6
e 298 346 11
e 298 351 2
e 6267 4709 8
e 300 328 7
e 300 342 10
e 300 346 6
e 300 505 9
e 300 507 9
e 300 510 2
e 563 328 2
e 1075 328 12
e 4664 4709 5
e 187 328 3
e 187 346 14
e 314 328 8
e 314 373 13
e 1603 338 3
e 1603 351 10
e 1603 4709 4
e 964 328 14
e 328 335 12
e 328 338 6
e 328 339 5
e 328 346 6
e 328 351 0
e 328 373 2
e 328 471 14
e 328 505 12
e 328 507 1
e 328 619 5
e 328 740 6
e 328 1141 2
e 328 4709 9
e 457 4709 11
e 6861 4709 13
e 335 4709 4
e 338 2663 6
e 339 507 12
e 342 4709 8
e 346 507 7
e 346 2663 0
e 351 505 13
e 351 507 5
e 351 510 3
e 4960 4709 5
e 7397 4709 3
e 4709 505 7
e 4709 510 0
e 4709 2663 7
e 4709 3455 4
e 4709 3580 0
e 4709 4210 9
e 4709 5489 8
e 4709 7398 8
e 4709 7399 0
e 4709 7400 14
