t 24 35
v 0 13 6
v 1 6 3
v 640 2 1
v 274 14 2
v 1684 12 2
v 25 1 3
v 155 10 5
v 27 12 3
v 31 11 21
v 290 13 2
v 1960 8 1
v 3120 3 1
v 816 2 1
v 818 5 1
v 64 14 3
v 2379 6 1
v 2260 9 2
v 86 1 2
v 2394 3 1
v 1509 6 2
v 3178 6 3
v 2161 8 1
v 1910 12 1
v 1918 13 2
e 0 1 1
e 0 25 4
e 0 27 1
e 0 31 1
e 0 64 4
e 0 86 9
e 1 31 9
e 1 155 0
e 640 31 9
e 274 31 4
e 274 155 6
e 1684 31 0
e 1684 155 14
e 25 31 11
e 25 64 14
e 155 290 1
e 155 3178 2
e 27 31 11
e 27 1509 2
e 31 64 4
e 31 86 10
e 31 290 4
e 31 816 10
e 31 818 6
e 31 1509 5
e 31 1910 11
e 31 1918 14
e 31 1960 9
e 31 2161 10
e 31 2260 4
e 31 2379 10
e 31 2394 7
e 31 3178 3
e 3120 3178 7
e 2260 1918 3
