t 24 95
v 0 0 5
v 1 2 5
v 2 62 19
v 3 3 5
v 4 1 5
v 5 2 5
v 6 1 5
v 7 83 19
v 8 2 5
v 9 3 5
v 10 2 5
v 11 3 5
v 12 18 19
v 13 1 5
v 14 3 5
v 15 64 19
v 16 2 5
v 17 1 5
v 18 3 5
v 19 3 5
v 20 3 5
v 21 3 5
v 22 0 19
v 23 1 5
e 0 2 161
e 0 12 145
e 0 15 136
e 0 22 153
e 0 7 205
e 1 15 286
e 1 22 179
e 1 2 27
e 1 12 130
e 1 7 84
e 2 3 176
e 2 8 26
e 2 17 188
e 2 16 192
e 2 9 291
e 2 21 16
e 2 19 257
e 2 14 266
e 2 10 260
e 2 18 292
e 2 5 306
e 2 6 135
e 2 23 31
e 2 20 147
e 2 11 250
e 2 4 90
e 2 13 101
e 3 22 141
e 3 15 145
e 3 12 123
e 3 7 265
e 4 15 207
e 4 22 115
e 4 7 161
e 4 12 78
e 5 12 160
e 5 15 296
e 5 7 173
e 5 22 169
e 6 7 55
e 6 22 125
e 6 12 236
e 6 15 254
e 7 13 118
e 7 9 152
e 7 16 5
e 7 19 215
e 7 21 15
e 7 20 20
e 7 17 236
e 7 14 235
e 7 10 167
e 7 8 46
e 7 18 267
e 7 23 104
e 7 11 208
e 8 22 294
e 8 15 212
e 8 12 259
e 9 15 90
e 9 12 228
e 9 22 141
e 10 15 293
e 10 22 198
e 10 12 220
e 11 15 71
e 11 12 300
e 11 22 154
e 12 18 195
e 12 21 130
e 12 20 85
e 12 14 186
e 12 13 21
e 12 17 10
e 12 19 198
e 12 23 110
e 12 16 108
e 13 15 74
e 13 22 109
e 14 15 72
e 14 22 148
e 15 23 258
e 15 17 177
e 15 18 150
e 15 21 194
e 15 16 193
e 15 19 159
e 15 20 213
e 16 22 292
e 17 22 54
e 18 22 247
e 19 22 63
e 20 22 265
e 21 22 148
e 22 23 69
